sentence_number,start,end,text,words,speaker
56,181.977,183.718,And he said yes with a smirk.,"[{'word': 'And', 'start': 181.977, 'end': 182.077, 'score': 0.952, 'speaker': 'SPEAKER_00'}, {'word': 'he', 'start': 182.117, 'end': 182.217, 'score': 0.639, 'speaker': 'SPEAKER_00'}, {'word': 'said', 'start': 182.277, 'end': 182.457, 'score': 0.817, 'speaker': 'SPEAKER_00'}, {'word': 'yes', 'start': 182.517, 'end': 182.757, 'score': 0.788, 'speaker': 'SPEAKER_00'}, {'word': 'with', 'start': 182.777, 'end': 183.138, 'score': 0.47, 'speaker': 'SPEAKER_00'}, {'word': 'a', 'start': 183.238, 'end': 183.278, 'score': 0.559, 'speaker': 'SPEAKER_00'}, {'word': 'smirk.', 'start': 183.378, 'end': 183.718, 'score': 0.887, 'speaker': 'SPEAKER_00'}]",SPEAKER_00
57,184.299,185.52,This is not what I was expecting.,"[{'word': 'This', 'start': 184.299, 'end': 184.459, 'score': 0.844, 'speaker': 'SPEAKER_00'}, {'word': 'is', 'start': 184.519, 'end': 184.599, 'score': 0.681, 'speaker': 'SPEAKER_00'}, {'word': 'not', 'start': 184.699, 'end': 184.859, 'score': 0.92, 'speaker': 'SPEAKER_00'}, {'word': 'what', 'start': 184.899, 'end': 184.999, 'score': 0.988, 'speaker': 'SPEAKER_00'}, {'word': 'I', 'start': 185.039, 'end': 185.079, 'score': 0.923, 'speaker': 'SPEAKER_00'}, {'word': 'was', 'start': 185.119, 'end': 185.219, 'score': 0.967, 'speaker': 'SPEAKER_00'}, {'word': 'expecting.', 'start': 185.239, 'end': 185.52, 'score': 0.086, 'speaker': 'SPEAKER_00'}]",SPEAKER_00
58,187.461,190.122,I love that the font is like old English.,"[{'word': 'I', 'start': 187.461, 'end': 187.521, 'score': 0.971, 'speaker': 'SPEAKER_02'}, {'word': 'love', 'start': 187.561, 'end': 187.741, 'score': 0.743, 'speaker': 'SPEAKER_02'}, {'word': 'that', 'start': 187.761, 'end': 187.881, 'score': 0.834, 'speaker': 'SPEAKER_02'}, {'word': 'the', 'start': 187.901, 'end': 188.021, 'score': 0.863, 'speaker': 'SPEAKER_02'}, {'word': 'font', 'start': 188.221, 'end': 188.561, 'score': 0.743, 'speaker': 'SPEAKER_02'}, {'word': 'is', 'start': 189.102, 'end': 189.202, 'score': 0.71, 'speaker': 'SPEAKER_02'}, {'word': 'like', 'start': 189.282, 'end': 189.522, 'score': 0.78, 'speaker': 'SPEAKER_02'}, {'word': 'old', 'start': 189.702, 'end': 189.822, 'score': 0.897, 'speaker': 'SPEAKER_00'}, {'word': 'English.', 'start': 189.882, 'end': 190.122, 'score': 0.424, 'speaker': 'SPEAKER_00'}]",SPEAKER_02
59,190.142,191.202,"Old English, yeah.","[{'word': 'Old', 'start': 190.142, 'end': 190.322, 'score': 0.742, 'speaker': 'SPEAKER_00'}, {'word': 'English,', 'start': 190.422, 'end': 190.922, 'score': 0.672, 'speaker': 'SPEAKER_00'}, {'word': 'yeah.', 'start': 190.942, 'end': 191.202, 'score': 0.575, 'speaker': 'SPEAKER_00'}]",SPEAKER_00
60,191.442,193.163,And they've renamed some of the things on it.,"[{'word': 'And', 'start': 191.442, 'end': 191.523, 'score': 0.937, 'speaker': 'SPEAKER_00'}, {'word': ""they've"", 'start': 191.543, 'end': 191.703, 'score': 0.42, 'speaker': 'SPEAKER_00'}, {'word': 'renamed', 'start': 191.763, 'end': 191.963, 'score': 0.422, 'speaker': 'SPEAKER_00'}, {'word': 'some', 'start': 191.983, 'end': 192.083, 'score': 0.112, 'speaker': 'SPEAKER_00'}, {'word': 'of', 'start': 192.103, 'end': 192.143, 'score': 0.0, 'speaker': 'SPEAKER_00'}, {'word': 'the', 'start': 192.163, 'end': 192.503, 'score': 0.812, 'speaker': 'SPEAKER_00'}, {'word': 'things', 'start': 192.583, 'end': 192.863, 'score': 0.864, 'speaker': 'SPEAKER_00'}, {'word': 'on', 'start': 192.963, 'end': 193.043, 'score': 0.96, 'speaker': 'SPEAKER_00'}, {'word': 'it.', 'start': 193.083, 'end': 193.163, 'score': 0.746, 'speaker': 'SPEAKER_02'}]",SPEAKER_00
61,193.203,198.865,But even the digital font inside that changes is like alarm clock-esque but old English.,"[{'word': 'But', 'start': 193.203, 'end': 193.323, 'score': 0.786, 'speaker': 'SPEAKER_02'}, {'word': 'even', 'start': 193.363, 'end': 193.483, 'score': 0.856, 'speaker': 'SPEAKER_02'}, {'word': 'the', 'start': 193.523, 'end': 193.603, 'score': 0.826, 'speaker': 'SPEAKER_02'}, {'word': 'digital', 'start': 193.663, 'end': 194.023, 'score': 0.823, 'speaker': 'SPEAKER_02'}, {'word': 'font', 'start': 194.063, 'end': 194.303, 'score': 0.823, 'speaker': 'SPEAKER_02'}, {'word': 'inside', 'start': 194.424, 'end': 194.744, 'score': 0.914, 'speaker': 'SPEAKER_02'}, {'word': 'that', 'start': 194.764, 'end': 194.904, 'score': 0.488, 'speaker': 'SPEAKER_01'}, {'word': 'changes', 'start': 194.924, 'end': 195.524, 'score': 0.794, 'speaker': 'SPEAKER_02'}, {'word': 'is', 'start': 195.624, 'end': 195.724, 'score': 0.685, 'speaker': 'SPEAKER_02'}, {'word': 'like', 'start': 195.804, 'end': 196.044, 'score': 0.776, 'speaker': 'SPEAKER_02'}, {'word': 'alarm', 'start': 196.924, 'end': 197.265, 'score': 0.887, 'speaker': 'SPEAKER_02'}, {'word': 'clock-esque', 'start': 197.325, 'end': 197.965, 'score': 0.672, 'speaker': 'SPEAKER_02'}, {'word': 'but', 'start': 198.245, 'end': 198.385, 'score': 0.524, 'speaker': 'SPEAKER_02'}, {'word': 'old', 'start': 198.485, 'end': 198.605, 'score': 0.946, 'speaker': 'SPEAKER_02'}, {'word': 'English.', 'start': 198.685, 'end': 198.865, 'score': 0.256, 'speaker': 'SPEAKER_02'}]",SPEAKER_02
62,199.485,206.688,They're also selling a vinyl for $22.99 that I'm definitely going to buy because that's not even that expensive for a vinyl.,"[{'word': ""They're"", 'start': 199.485, 'end': 199.705, 'score': 0.645, 'speaker': 'SPEAKER_01'}, {'word': 'also', 'start': 199.725, 'end': 199.945, 'score': 0.92, 'speaker': 'SPEAKER_01'}, {'word': 'selling', 'start': 200.005, 'end': 200.386, 'score': 0.806, 'speaker': 'SPEAKER_01'}, {'word': 'a', 'start': 200.446, 'end': 200.486, 'score': 0.01, 'speaker': 'SPEAKER_01'}, {'word': 'vinyl', 'start': 200.966, 'end': 201.446, 'score': 0.741, 'speaker': 'SPEAKER_01'}, {'word': 'for', 'start': 201.526, 'end': 201.646, 'score': 0.992, 'speaker': 'SPEAKER_01'}, {'word': '$22.99'}, {'word': 'that', 'start': 201.766, 'end': 202.026, 'score': 0.427, 'speaker': 'SPEAKER_01'}, {'word': ""I'm"", 'start': 202.066, 'end': 202.246, 'score': 0.379, 'speaker': 'SPEAKER_01'}, {'word': 'definitely', 'start': 202.366, 'end': 203.607, 'score': 0.561, 'speaker': 'SPEAKER_01'}, {'word': 'going', 'start': 203.627, 'end': 203.807, 'score': 0.711, 'speaker': 'SPEAKER_01'}, {'word': 'to', 'start': 203.847, 'end': 203.887, 'score': 0.999, 'speaker': 'SPEAKER_01'}, {'word': 'buy', 'start': 203.927, 'end': 204.227, 'score': 0.809, 'speaker': 'SPEAKER_01'}, {'word': 'because', 'start': 204.247, 'end': 205.027, 'score': 0.245, 'speaker': 'SPEAKER_01'}, {'word': ""that's"", 'start': 205.067, 'end': 205.227, 'score': 0.885, 'speaker': 'SPEAKER_01'}, {'word': 'not', 'start': 205.247, 'end': 205.347, 'score': 0.996, 'speaker': 'SPEAKER_01'}, {'word': 'even', 'start': 205.387, 'end': 205.527, 'score': 0.763, 'speaker': 'SPEAKER_01'}, {'word': 'that', 'start': 205.567, 'end': 205.728, 'score': 0.865, 'speaker': 'SPEAKER_01'}, {'word': 'expensive', 'start': 205.768, 'end': 206.228, 'score': 0.897, 'speaker': 'SPEAKER_01'}, {'word': 'for', 'start': 206.268, 'end': 206.388, 'score': 0.706, 'speaker': 'SPEAKER_01'}, {'word': 'a', 'start': 206.408, 'end': 206.448, 'score': 0.86, 'speaker': 'SPEAKER_01'}, {'word': 'vinyl.', 'start': 206.468, 'end': 206.688, 'score': 0.678, 'speaker': 'SPEAKER_01'}]",SPEAKER_01
63,206.708,209.009,"All right, so Marques, why is this a bad idea?","[{'word': 'All', 'start': 206.708, 'end': 206.868, 'score': 0.806, 'speaker': 'SPEAKER_01'}, {'word': 'right,', 'start': 207.108, 'end': 207.228, 'score': 0.115, 'speaker': 'SPEAKER_02'}, {'word': 'so', 'start': 207.248, 'end': 207.348, 'score': 0.732, 'speaker': 'SPEAKER_02'}, {'word': 'Marques,', 'start': 207.368, 'end': 207.648, 'score': 0.383, 'speaker': 'SPEAKER_02'}, {'word': 'why', 'start': 207.788, 'end': 208.028, 'score': 0.954, 'speaker': 'SPEAKER_02'}, {'word': 'is', 'start': 208.088, 'end': 208.168, 'score': 0.579, 'speaker': 'SPEAKER_02'}, {'word': 'this', 'start': 208.208, 'end': 208.368, 'score': 0.827, 'speaker': 'SPEAKER_02'}, {'word': 'a', 'start': 208.408, 'end': 208.448, 'score': 0.521, 'speaker': 'SPEAKER_02'}, {'word': 'bad', 'start': 208.488, 'end': 208.669, 'score': 0.889, 'speaker': 'SPEAKER_02'}, {'word': 'idea?', 'start': 208.729, 'end': 209.009, 'score': 0.935, 'speaker': 'SPEAKER_02'}]",SPEAKER_02
64,209.029,212.45,Et tu niche.,"[{'word': 'Et', 'start': 209.029, 'end': 209.069, 'score': 0.0, 'speaker': 'SPEAKER_02'}, {'word': 'tu', 'start': 211.149, 'end': 211.69, 'score': 0.854, 'speaker': 'SPEAKER_01'}, {'word': 'niche.', 'start': 212.01, 'end': 212.45, 'score': 0.779, 'speaker': 'SPEAKER_01'}]",SPEAKER_01
65,214.38,216.021,"Fair enough, who niche?","[{'word': 'Fair', 'start': 214.38, 'end': 214.54, 'score': 0.917, 'speaker': 'SPEAKER_01'}, {'word': 'enough,', 'start': 214.56, 'end': 214.76, 'score': 0.95, 'speaker': 'SPEAKER_01'}, {'word': 'who', 'start': 214.82, 'end': 215.361, 'score': 0.496, 'speaker': 'SPEAKER_01'}, {'word': 'niche?', 'start': 215.401, 'end': 216.021, 'score': 0.634, 'speaker': 'SPEAKER_00'}]",SPEAKER_01
66,216.161,217.482,You're not into Renaissance Fairs?,"[{'word': ""You're"", 'start': 216.161, 'end': 216.421, 'score': 0.272, 'speaker': 'SPEAKER_00'}, {'word': 'not', 'start': 216.441, 'end': 216.562, 'score': 0.542, 'speaker': 'SPEAKER_00'}, {'word': 'into', 'start': 216.602, 'end': 216.762, 'score': 0.868, 'speaker': 'SPEAKER_00'}, {'word': 'Renaissance', 'start': 216.802, 'end': 217.162, 'score': 0.746, 'speaker': 'SPEAKER_00'}, {'word': 'Fairs?', 'start': 217.222, 'end': 217.482, 'score': 0.719, 'speaker': 'SPEAKER_01'}]",SPEAKER_01
67,218.523,225.328,"I'm not particularly, yeah, I'm sure there's, look, with every product it's a good idea for someone, I just think there's not enough of those people for this one.","[{'word': ""I'm"", 'start': 218.523, 'end': 218.683, 'score': 0.848, 'speaker': 'SPEAKER_01'}, {'word': 'not', 'start': 218.763, 'end': 219.083, 'score': 0.845, 'speaker': 'SPEAKER_01'}, {'word': 'particularly,', 'start': 219.223, 'end': 220.024, 'score': 0.846, 'speaker': 'SPEAKER_01'}, {'word': 'yeah,', 'start': 220.044, 'end': 220.364, 'score': 0.393, 'speaker': 'SPEAKER_01'}, {'word': ""I'm"", 'start': 220.404, 'end': 220.544, 'score': 0.697, 'speaker': 'SPEAKER_01'}, {'word': 'sure', 'start': 220.584, 'end': 220.725, 'score': 0.87, 'speaker': 'SPEAKER_01'}, {'word': ""there's,"", 'start': 220.745, 'end': 220.985, 'score': 0.754, 'speaker': 'SPEAKER_01'}, {'word': 'look,', 'start': 221.345, 'end': 221.525, 'score': 0.885, 'speaker': 'SPEAKER_01'}, {'word': 'with', 'start': 221.545, 'end': 221.665, 'score': 0.91, 'speaker': 'SPEAKER_01'}, {'word': 'every', 'start': 221.725, 'end': 221.885, 'score': 0.956, 'speaker': 'SPEAKER_01'}, {'word': 'product', 'start': 221.925, 'end': 222.226, 'score': 0.906, 'speaker': 'SPEAKER_01'}, {'word': ""it's"", 'start': 222.286, 'end': 222.366, 'score': 0.701, 'speaker': 'SPEAKER_01'}, {'word': 'a', 'start': 222.386, 'end': 222.406, 'score': 0.851, 'speaker': 'SPEAKER_01'}, {'word': 'good', 'start': 222.446, 'end': 222.546, 'score': 0.598, 'speaker': 'SPEAKER_01'}, {'word': 'idea', 'start': 222.586, 'end': 222.766, 'score': 0.967, 'speaker': 'SPEAKER_01'}, {'word': 'for', 'start': 222.806, 'end': 222.946, 'score': 0.878, 'speaker': 'SPEAKER_01'}, {'word': 'someone,', 'start': 223.026, 'end': 223.406, 'score': 0.811, 'speaker': 'SPEAKER_01'}, {'word': 'I', 'start': 223.426, 'end': 223.446, 'score': 0.0, 'speaker': 'SPEAKER_01'}, {'word': 'just', 'start': 223.627, 'end': 223.727, 'score': 0.936, 'speaker': 'SPEAKER_01'}, {'word': 'think', 'start': 223.747, 'end': 223.847, 'score': 0.996, 'speaker': 'SPEAKER_01'}, {'word': ""there's"", 'start': 223.867, 'end': 224.047, 'score': 0.864, 'speaker': 'SPEAKER_01'}, {'word': 'not', 'start': 224.067, 'end': 224.167, 'score': 0.83, 'speaker': 'SPEAKER_01'}, {'word': 'enough', 'start': 224.207, 'end': 224.367, 'score': 0.919, 'speaker': 'SPEAKER_01'}, {'word': 'of', 'start': 224.407, 'end': 224.467, 'score': 0.571, 'speaker': 'SPEAKER_01'}, {'word': 'those', 'start': 224.487, 'end': 224.627, 'score': 0.805, 'speaker': 'SPEAKER_01'}, {'word': 'people', 'start': 224.667, 'end': 224.908, 'score': 0.777, 'speaker': 'SPEAKER_01'}, {'word': 'for', 'start': 224.928, 'end': 225.028, 'score': 0.833, 'speaker': 'SPEAKER_01'}, {'word': 'this', 'start': 225.048, 'end': 225.148, 'score': 0.999, 'speaker': 'SPEAKER_01'}, {'word': 'one.', 'start': 225.228, 'end': 225.328, 'score': 0.864, 'speaker': 'SPEAKER_01'}]",SPEAKER_01
68,226.489,226.789,All right.,"[{'word': 'All', 'start': 226.489, 'end': 226.609, 'score': 0.646, 'speaker': 'SPEAKER_01'}, {'word': 'right.', 'start': 226.629, 'end': 226.789, 'score': 0.729, 'speaker': 'SPEAKER_01'}]",SPEAKER_01
69,227.249,231.692,It has a $100 medieval quilt bag carrier if you want to buy it.,"[{'word': 'It', 'start': 227.249, 'end': 227.549, 'score': 0.324, 'speaker': 'SPEAKER_01'}, {'word': 'has', 'start': 227.99, 'end': 228.33, 'score': 0.444, 'speaker': 'SPEAKER_02'}, {'word': 'a', 'start': 228.61, 'end': 228.79, 'score': 0.532, 'speaker': 'SPEAKER_02'}, {'word': '$100'}, {'word': 'medieval', 'start': 229.05, 'end': 229.491, 'score': 0.426, 'speaker': 'SPEAKER_02'}, {'word': 'quilt', 'start': 229.551, 'end': 229.791, 'score': 0.922, 'speaker': 'SPEAKER_02'}, {'word': 'bag', 'start': 229.831, 'end': 230.091, 'score': 0.979, 'speaker': 'SPEAKER_02'}, {'word': 'carrier', 'start': 230.411, 'end': 230.912, 'score': 0.923, 'speaker': 'SPEAKER_02'}, {'word': 'if', 'start': 230.972, 'end': 231.032, 'score': 0.972, 'speaker': 'SPEAKER_02'}, {'word': 'you', 'start': 231.072, 'end': 231.192, 'score': 0.889, 'speaker': 'SPEAKER_02'}, {'word': 'want', 'start': 231.232, 'end': 231.352, 'score': 0.944, 'speaker': 'SPEAKER_02'}, {'word': 'to', 'start': 231.372, 'end': 231.432, 'score': 0.776, 'speaker': 'SPEAKER_02'}, {'word': 'buy', 'start': 231.472, 'end': 231.632, 'score': 0.752, 'speaker': 'SPEAKER_02'}, {'word': 'it.', 'start': 231.652, 'end': 231.692, 'score': 0.09, 'speaker': 'SPEAKER_01'}]",SPEAKER_02
70,231.752,232.793,The shipping is $16 on a $22 product.,"[{'word': 'The', 'start': 231.752, 'end': 231.872, 'score': 0.885, 'speaker': 'SPEAKER_01'}, {'word': 'shipping', 'start': 231.913, 'end': 232.253, 'score': 0.894, 'speaker': 'SPEAKER_01'}, {'word': 'is', 'start': 232.333, 'end': 232.373, 'score': 0.99, 'speaker': 'SPEAKER_01'}, {'word': '$16'}, {'word': 'on', 'start': 232.413, 'end': 232.453, 'score': 0.0, 'speaker': 'SPEAKER_01'}, {'word': 'a', 'start': 232.473, 'end': 232.493, 'score': 0.0, 'speaker': 'SPEAKER_01'}, {'word': '$22'}, {'word': 'product.', 'start': 232.553, 'end': 232.793, 'score': 0.184, 'speaker': 'SPEAKER_01'}]",SPEAKER_01
71,232.813,233.574,It comes by carrier pigeon.,"[{'word': 'It', 'start': 232.813, 'end': 232.853, 'score': 0.45, 'speaker': 'SPEAKER_01'}, {'word': 'comes', 'start': 232.873, 'end': 233.073, 'score': 0.183, 'speaker': 'SPEAKER_01'}, {'word': 'by', 'start': 233.093, 'end': 233.173, 'score': 0.182, 'speaker': 'SPEAKER_01'}, {'word': 'carrier', 'start': 233.253, 'end': 233.434, 'score': 0.277, 'speaker': 'SPEAKER_01'}, {'word': 'pigeon.', 'start': 233.454, 'end': 233.574, 'score': 0.0, 'speaker': 'SPEAKER_01'}]",SPEAKER_01
72,233.594,233.774,All right.,"[{'word': 'All', 'start': 233.594, 'end': 233.654, 'score': 0.002, 'speaker': 'SPEAKER_01'}, {'word': 'right.', 'start': 233.674, 'end': 233.774, 'score': 0.003, 'speaker': 'SPEAKER_01'}]",SPEAKER_01
73,239.167,241.909,"All right, well, the consensus, good idea.","[{'word': 'All', 'start': 239.167, 'end': 239.267, 'score': 0.646, 'speaker': 'SPEAKER_02'}, {'word': 'right,', 'start': 239.287, 'end': 239.507, 'score': 0.727, 'speaker': 'SPEAKER_02'}, {'word': 'well,', 'start': 239.547, 'end': 239.808, 'score': 0.844, 'speaker': 'SPEAKER_00'}, {'word': 'the', 'start': 240.168, 'end': 240.268, 'score': 0.834, 'speaker': 'SPEAKER_00'}, {'word': 'consensus,', 'start': 240.288, 'end': 240.869, 'score': 0.803, 'speaker': 'SPEAKER_00'}, {'word': 'good', 'start': 241.209, 'end': 241.389, 'score': 0.907, 'speaker': 'SPEAKER_00'}, {'word': 'idea.', 'start': 241.489, 'end': 241.909, 'score': 0.873, 'speaker': 'SPEAKER_00'}]",SPEAKER_00
74,241.929,245.873,I would love to put this on my desk and not know how to use it.,"[{'word': 'I', 'start': 241.929, 'end': 241.949, 'score': 0.004, 'speaker': 'SPEAKER_00'}, {'word': 'would', 'start': 242.81, 'end': 243.01, 'score': 0.85, 'speaker': 'SPEAKER_00'}, {'word': 'love', 'start': 243.07, 'end': 243.271, 'score': 0.84, 'speaker': 'SPEAKER_02'}, {'word': 'to', 'start': 243.311, 'end': 243.391, 'score': 0.902, 'speaker': 'SPEAKER_02'}, {'word': 'put', 'start': 243.691, 'end': 243.791, 'score': 0.997, 'speaker': 'SPEAKER_02'}, {'word': 'this', 'start': 243.831, 'end': 243.951, 'score': 0.793, 'speaker': 'SPEAKER_02'}, {'word': 'on', 'start': 243.991, 'end': 244.051, 'score': 0.986, 'speaker': 'SPEAKER_02'}, {'word': 'my', 'start': 244.071, 'end': 244.171, 'score': 0.824, 'speaker': 'SPEAKER_02'}, {'word': 'desk', 'start': 244.191, 'end': 244.452, 'score': 0.844, 'speaker': 'SPEAKER_02'}, {'word': 'and', 'start': 244.592, 'end': 244.752, 'score': 0.447, 'speaker': 'SPEAKER_02'}, {'word': 'not', 'start': 245.052, 'end': 245.212, 'score': 0.819, 'speaker': 'SPEAKER_02'}, {'word': 'know', 'start': 245.252, 'end': 245.372, 'score': 0.887, 'speaker': 'SPEAKER_02'}, {'word': 'how', 'start': 245.412, 'end': 245.512, 'score': 0.821, 'speaker': 'SPEAKER_02'}, {'word': 'to', 'start': 245.532, 'end': 245.572, 'score': 0.772, 'speaker': 'SPEAKER_02'}, {'word': 'use', 'start': 245.673, 'end': 245.813, 'score': 0.652, 'speaker': 'SPEAKER_02'}, {'word': 'it.', 'start': 245.833, 'end': 245.873, 'score': 0.204, 'speaker': 'SPEAKER_02'}]",SPEAKER_02
75,246.033,246.373,How does it?,"[{'word': 'How', 'start': 246.033, 'end': 246.113, 'score': 0.992, 'speaker': 'SPEAKER_00'}, {'word': 'does', 'start': 246.133, 'end': 246.273, 'score': 0.746, 'speaker': 'SPEAKER_00'}, {'word': 'it?', 'start': 246.313, 'end': 246.373, 'score': 0.754, 'speaker': 'SPEAKER_00'}]",SPEAKER_00
76,246.393,248.095,"Yeah, that's what I do.","[{'word': 'Yeah,', 'start': 246.393, 'end': 246.553, 'score': 0.62, 'speaker': 'SPEAKER_00'}, {'word': ""that's"", 'start': 246.673, 'end': 246.814, 'score': 0.943, 'speaker': 'SPEAKER_00'}, {'word': 'what', 'start': 246.834, 'end': 247.054, 'score': 0.097, 'speaker': 'SPEAKER_00'}, {'word': 'I', 'start': 247.234, 'end': 247.274, 'score': 0.0, 'speaker': 'SPEAKER_00'}, {'word': 'do.', 'start': 247.454, 'end': 248.095, 'score': 0.46, 'speaker': 'SPEAKER_00'}]",SPEAKER_00
77,248.115,248.095,$300.,[{'word': '$300.'}],
78,248.935,250.777,It's the same price as the original EP 133.,"[{'word': ""It's"", 'start': 248.935, 'end': 249.296, 'score': 0.735, 'speaker': 'SPEAKER_00'}, {'word': 'the', 'start': 249.316, 'end': 249.396, 'score': 0.973, 'speaker': 'SPEAKER_00'}, {'word': 'same', 'start': 249.436, 'end': 249.576, 'score': 0.875, 'speaker': 'SPEAKER_00'}, {'word': 'price', 'start': 249.596, 'end': 249.816, 'score': 0.81, 'speaker': 'SPEAKER_00'}, {'word': 'as', 'start': 249.856, 'end': 249.936, 'score': 0.603, 'speaker': 'SPEAKER_00'}, {'word': 'the', 'start': 249.976, 'end': 250.076, 'score': 0.782, 'speaker': 'SPEAKER_00'}, {'word': 'original', 'start': 250.136, 'end': 250.497, 'score': 0.845, 'speaker': 'SPEAKER_00'}, {'word': 'EP', 'start': 250.597, 'end': 250.777, 'score': 0.78, 'speaker': 'SPEAKER_00'}, {'word': '133.'}]",SPEAKER_00
79,251.237,254.28,I just want to reiterate that we should let the Swedish do anything right now.,"[{'word': 'I', 'start': 251.237, 'end': 251.317, 'score': 0.764, 'speaker': 'SPEAKER_00'}, {'word': 'just', 'start': 251.337, 'end': 251.477, 'score': 0.988, 'speaker': 'SPEAKER_00'}, {'word': 'want', 'start': 251.517, 'end': 251.678, 'score': 0.848, 'speaker': 'SPEAKER_00'}, {'word': 'to', 'start': 251.698, 'end': 251.758, 'score': 0.144, 'speaker': 'SPEAKER_00'}, {'word': 'reiterate', 'start': 251.818, 'end': 252.278, 'score': 0.652, 'speaker': 'SPEAKER_00'}, {'word': 'that', 'start': 252.298, 'end': 252.418, 'score': 0.971, 'speaker': 'SPEAKER_00'}, {'word': 'we', 'start': 252.458, 'end': 252.518, 'score': 0.845, 'speaker': 'SPEAKER_00'}, {'word': 'should', 'start': 252.538, 'end': 252.698, 'score': 0.864, 'speaker': 'SPEAKER_00'}, {'word': 'let', 'start': 252.719, 'end': 252.859, 'score': 0.805, 'speaker': 'SPEAKER_00'}, {'word': 'the', 'start': 252.899, 'end': 252.979, 'score': 0.842, 'speaker': 'SPEAKER_00'}, {'word': 'Swedish', 'start': 253.019, 'end': 253.359, 'score': 0.956, 'speaker': 'SPEAKER_00'}, {'word': 'do', 'start': 253.419, 'end': 253.579, 'score': 0.985, 'speaker': 'SPEAKER_00'}, {'word': 'anything', 'start': 253.599, 'end': 253.94, 'score': 0.286, 'speaker': 'SPEAKER_00'}, {'word': 'right', 'start': 254.0, 'end': 254.1, 'score': 0.013, 'speaker': 'SPEAKER_00'}, {'word': 'now.', 'start': 254.2, 'end': 254.28, 'score': 0.238}]",SPEAKER_00
80,255.817,256.397,Anything they want.,"[{'word': 'Anything', 'start': 255.817, 'end': 256.137, 'score': 0.854, 'speaker': 'SPEAKER_00'}, {'word': 'they', 'start': 256.157, 'end': 256.257, 'score': 0.385, 'speaker': 'SPEAKER_00'}, {'word': 'want.', 'start': 256.277, 'end': 256.397, 'score': 0.331, 'speaker': 'SPEAKER_00'}]",SPEAKER_00
81,256.417,256.717,All right.,"[{'word': 'All', 'start': 256.417, 'end': 256.537, 'score': 0.43, 'speaker': 'SPEAKER_00'}, {'word': 'right.', 'start': 256.577, 'end': 256.717, 'score': 0.8, 'speaker': 'SPEAKER_00'}]",SPEAKER_00
82,256.777,260.339,The second thing is Amazon's AI podcast picker.,"[{'word': 'The', 'start': 256.777, 'end': 256.877, 'score': 0.996, 'speaker': 'SPEAKER_00'}, {'word': 'second', 'start': 256.937, 'end': 257.218, 'score': 0.956, 'speaker': 'SPEAKER_00'}, {'word': 'thing', 'start': 257.258, 'end': 257.478, 'score': 0.719, 'speaker': 'SPEAKER_00'}, {'word': 'is', 'start': 257.858, 'end': 257.958, 'score': 0.487, 'speaker': 'SPEAKER_00'}, {'word': ""Amazon's"", 'start': 258.178, 'end': 258.698, 'score': 0.777, 'speaker': 'SPEAKER_00'}, {'word': 'AI', 'start': 258.918, 'end': 259.278, 'score': 0.872, 'speaker': 'SPEAKER_00'}, {'word': 'podcast', 'start': 259.418, 'end': 260.018, 'score': 0.921, 'speaker': 'SPEAKER_00'}, {'word': 'picker.', 'start': 260.058, 'end': 260.339, 'score': 0.923, 'speaker': 'SPEAKER_00'}]",SPEAKER_00
83,260.539,260.979,Bad idea.,"[{'word': 'Bad', 'start': 260.539, 'end': 260.699, 'score': 0.96, 'speaker': 'SPEAKER_00'}, {'word': 'idea.', 'start': 260.739, 'end': 260.979, 'score': 0.689, 'speaker': 'SPEAKER_00'}]",SPEAKER_00
84,261.179,263.76,So we always talk about... Let me explain.,"[{'word': 'So', 'start': 261.179, 'end': 261.279, 'score': 0.994, 'speaker': 'SPEAKER_00'}, {'word': 'we', 'start': 261.319, 'end': 261.399, 'score': 0.9, 'speaker': 'SPEAKER_00'}, {'word': 'always', 'start': 261.419, 'end': 261.599, 'score': 0.823, 'speaker': 'SPEAKER_00'}, {'word': 'talk', 'start': 261.619, 'end': 261.819, 'score': 0.937, 'speaker': 'SPEAKER_00'}, {'word': 'about...', 'start': 261.839, 'end': 262.059, 'score': 0.587, 'speaker': 'SPEAKER_00'}, {'word': 'Let', 'start': 262.899, 'end': 263.159, 'score': 0.616, 'speaker': 'SPEAKER_00'}, {'word': 'me', 'start': 263.36, 'end': 263.42, 'score': 0.752, 'speaker': 'SPEAKER_00'}, {'word': 'explain.', 'start': 263.44, 'end': 263.76, 'score': 0.855, 'speaker': 'SPEAKER_00'}]",SPEAKER_00
85,263.78,264.92,Okay.,"[{'word': 'Okay.', 'start': 263.78, 'end': 264.92, 'score': 0.903, 'speaker': 'SPEAKER_00'}]",SPEAKER_00
